[DHCP IP: (192.16¼G@8.1.5)] to MAC address A8:10:87:4F:0B:56, Saturday, November 28,2020 08:48:17     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 08:40:05     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 08:39:37     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 07:32:35     
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Saturday, November 28,2020 07:24:41     
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Saturday, November 28,2020 07:24:38     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 07:19:06     
[DHCP IP: (192.168.1.16)] to MAC address 0C:96:E6:02:D1:1F, Saturday, November 28,2020 07:14:49     
[DHCP IP: (192.168.1.3)] to MAC address F8:36:9B:81:2E:F3, Saturday, November 28,2020 07:13:49     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 07:12:27     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 07:04:05     
[DoS attack: RST Scan] from source: 68.67.160.24:443, Saturday, November 28,2020 06:59:10     
[DoS attack: RST Scan] from source: 17.253.144.12:443, Saturday, November 28,2020 06:57:41     
[DHCP IP: (192.168.1.16)] to MAC address 0C:96:E6:02:D1:1F, Saturday, November 28,2020 06:52:25     
[DHCP IP: (192.168.1.12)] to MAC address CC:46:4E:CB:54:8C, Saturday, November 28,2020 06:52:19     
[DHCP IP: (192.168.1.3)] to MAC address F8:36:9B:81:2E:F3, Saturday, November 28,2020 06:51:14     
[DHCP IP: (192.168.1.31)] to MAC address 1E:F7:27:D1:51:CF, Saturday, November 28,2020 06:51:02     
[DHCP IP: (192.168.1.3)] to MAC address F8:36:9B:81:2E:F3, Saturday, November 28,2020 06:47:22     
[DoS attack: RST Scan] from source: 104.114.5.155:443, Saturday, November 28,2020 06:44:25     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 06:43:18     
[DHCP IP: (192.168.1.21)] to MAC address 52:A5:93:9D:99:D5, Saturday, November 28,2020 06:13:08     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 05:59:38     
[DoS attack: RST Scan] from source: 104.91.200.163:443, Saturday, November 28,2020 05:37:14     
[DoS attack: RST Scan] from source: 172.217.4.202:443, Saturday, November 28,2020 05:31:38     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 05:17:35     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 04:51:30     
[DHCP IP: (192.168.1.4)] to MAC address F0:81:73:DA:3F:2F, Saturday, November 28,2020 04:41:20     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:07:48     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:07:48     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:07:40     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:07:30     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:07:09     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:06:27     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:05:03     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 04:02:14     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 03:56:37     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 03:45:21     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, November 28,2020 03:33:50     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, November 28,2020 03:33:50     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, November 28,2020 03:33:49     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, Novemb¼G@er 28,2020 03:33:44     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 03:22:52     
[DoS attack: RST Scan] from source: 216.58.192.229:443, Saturday, November 28,2020 03:09:35     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 02:37:52     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 02:36:36     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, November 28,2020 02:31:33     
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Saturday, November 28,2020 02:21:04     
[DoS attack: RST Scan] from source: 17.253.144.10:443, Saturday, November 28,2020 01:56:45     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:07:52     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:07:44     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:07:36     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:07:20     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:06:48     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:05:45     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 01:03:38     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 00:59:25     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 00:50:59     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 00:47:35     
[DoS attack: RST Scan] from source: 17.253.144.12:443, Saturday, November 28,2020 00:40:41     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 00:34:07     
[DoS attack: RST Scan] from source: 23.48.205.54:443, Saturday, November 28,2020 00:29:18     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 00:00:22     
[DoS attack: RST Scan] from source: 17.253.144.10:443, Friday, November 27,2020 23:56:00       
[DoS attack: RST Scan] from source: 17.253.144.12:443, Friday, November 27,2020 23:38:46       
[DoS attack: TCP Port Scan] from source: 80.82.77.237:46866, Friday, November 27,2020 23:01:37       
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Friday, November 27,2020 22:52:52       
[DoS attack: RST Scan] from source: 23.48.205.54:443, Friday, November 27,2020 22:28:01       
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Friday, November 27,2020 22:06:48       
[DoS attack: RST Scan] from source: 17.253.144.12:443, Friday, November 27,2020 21:52:45       
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Friday, November 27,2020 21:03:39       
